deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
51C99999,10.730841,106.58037,0.0,0.0,0,1,0,Wed Sep 10 00:00:32 ICT 2014
51C36331,10.897791,106.82349,0.0,0.0,0,1,0,Wed Sep 10 00:00:21 ICT 2014
60C11594,10.890555,106.748634,0.0,0.0,0,1,0,Wed Sep 10 00:00:32 ICT 2014
51A84285,10.79153,106.69954,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51C40920,10.702823,106.60813,0.0,0.0,0,1,0,Wed Sep 10 00:00:33 ICT 2014
54X4952,10.84953,106.78248,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51B04493,10.8670635,106.72899,0.0,0.0,0,1,0,Wed Sep 10 00:00:32 ICT 2014
51C18361,10.85094,106.7836,0.0,0.0,0,1,0,Wed Sep 10 00:00:29 ICT 2014
51C16418,10.80732,106.66046,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
54Z2026,10.8054,106.57839,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
53N9697,10.8438635,106.80114,0.0,0.0,0,1,0,Wed Sep 10 00:00:34 ICT 2014
60C11103,10.710688,107.00476,0.0,0.0,0,1,0,Wed Sep 10 00:00:34 ICT 2014
51B01806,10.781273,106.76439,0.0,0.0,0,1,0,Wed Sep 10 00:00:34 ICT 2014
53S8620,10.899312,106.84687,0.0,0.0,0,1,0,Wed Sep 10 00:00:34 ICT 2014
